old_url,title,summary,body,organisation,document_collection_1,topic_1,publication_date,publication_type,json_attachments
http://www.hmrc.gov.uk/exrate/bulgaria.htm,Foreign Exchange Rates: Bulgaria,Historical exchange rates for Bulgaria,"# Foreign Exchange Rates: Bulgaria

## Unit of currency: Lev


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Bulgaria"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/bulgaria.csv""}]"
http://www.hmrc.gov.uk/exrate/brunei.htm,Foreign Exchange Rates: Brunei,Historical exchange rates for Brunei,"# Foreign Exchange Rates: Brunei

## Unit of currency: Brunei Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Brunei"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/brunei.csv""}]"
http://www.hmrc.gov.uk/exrate/burma-myanmar.htm,Foreign Exchange Rates: Burma: Myanmar,Historical exchange rates for Burma: Myanmar,"# Foreign Exchange Rates: Burma: Myanmar

## Unit of currency: Burmese Kyat


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Burma: Myanmar"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/burma-myanmar.csv""}]"
http://www.hmrc.gov.uk/exrate/burundi.htm,Foreign Exchange Rates: Burundi,Historical exchange rates for Burundi,"# Foreign Exchange Rates: Burundi

## Unit of currency: Burundi Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Burundi"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/burundi.csv""}]"
http://www.hmrc.gov.uk/exrate/barbados.htm,Foreign Exchange Rates: Barbados,Historical exchange rates for Barbados,"# Foreign Exchange Rates: Barbados

## Unit of currency: Barbados Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Barbados"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/barbados.csv""}]"
http://www.hmrc.gov.uk/exrate/canada.htm,Foreign Exchange Rates: Canada,Historical exchange rates for Canada,"# Foreign Exchange Rates: Canada

## Unit of currency: Canadian Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Canada"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/canada.csv""}]"
http://www.hmrc.gov.uk/exrate/cayman-islands.htm,Foreign Exchange Rates: Cayman Islands,Historical exchange rates for Cayman Islands,"# Foreign Exchange Rates: Cayman Islands

## Unit of currency: Cayman Islands Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Cayman Islands"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/cayman-islands.csv""}]"
http://www.hmrc.gov.uk/exrate/chile.htm,Foreign Exchange Rates: Chile,Historical exchange rates for Chile,"# Foreign Exchange Rates: Chile

## Unit of currency: Chilean Peso


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Chile"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/chile.csv""}]"
http://www.hmrc.gov.uk/exrate/colombia.htm,Foreign Exchange Rates: Colombia,Historical exchange rates for Colombia,"# Foreign Exchange Rates: Colombia

## Unit of currency: Colombian Peso


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Colombia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/colombia.csv""}]"
http://www.hmrc.gov.uk/exrate/cis-russia.htm,Foreign Exchange Rates: CIS: Russia,Historical exchange rates for CIS: Russia,"# Foreign Exchange Rates: CIS: Russia

## Unit of currency: Rouble (Official/Floating)

*  The CIS rate applies to states in the Russian Rouble zone.
^

*  CIS: the official rate ceased to be quoted from 31 March 1996.
^

*  The Rouble was rebased on 1 January 1998. The new rouble is equivalent
  to 1000 old roubles.


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: CIS: Russia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/cis-russia.csv""}]"
http://www.hmrc.gov.uk/exrate/congo.htm,Foreign Exchange Rates: Congo Dem Rep (Zaire),Historical exchange rates for Congo Dem Rep (Zaire),"# Foreign Exchange Rates: Congo Dem Rep (Zaire)

## Unit of currency: Congolese Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Congo Dem Rep (Zaire)"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/congo.csv""}]"
http://www.hmrc.gov.uk/exrate/china.htm,Foreign Exchange Rates: China,Historical exchange rates for China,"# Foreign Exchange Rates: China

## Unit of currency: Renminbi Yuan


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: China"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/china.csv""}]"
http://www.hmrc.gov.uk/exrate/costa-rica.htm,Foreign Exchange Rates: Costa Rica,Historical exchange rates for Costa Rica,"# Foreign Exchange Rates: Costa Rica

## Unit of currency: Colon


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Costa Rica"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/costa-rica.csv""}]"
http://www.hmrc.gov.uk/exrate/cyprus.htm,Foreign Exchange Rates: Cyprus,Historical exchange rates for Cyprus,"# Foreign Exchange Rates: Cyprus

## Unit of currency: Cyprus Pound (To 31.12.07) (Euro From 01.01.08)


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Cyprus"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/cyprus.csv""}]"
http://www.hmrc.gov.uk/exrate/czech-republic.htm,Foreign Exchange Rates: Czech Republic,Historical exchange rates for Czech Republic,"# Foreign Exchange Rates: Czech Republic

## Unit of currency: Koruna


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Czech Republic"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/czech-republic.csv""}]"
http://www.hmrc.gov.uk/exrate/cuba.htm,Foreign Exchange Rates: Cuba,Historical exchange rates for Cuba,"# Foreign Exchange Rates: Cuba

## Unit of currency: Cuban Peso


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Cuba"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/cuba.csv""}]"
http://www.hmrc.gov.uk/exrate/denmark.htm,Foreign Exchange Rates: Denmark,Historical exchange rates for Denmark,"# Foreign Exchange Rates: Denmark

## Unit of currency: Danish Krone


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Denmark"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/denmark.csv""}]"
http://www.hmrc.gov.uk/exrate/ecuador.htm,Foreign Exchange Rates: Ecuador,Historical exchange rates for Ecuador,"# Foreign Exchange Rates: Ecuador

## Unit of currency: Us Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Ecuador"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/ecuador.csv""}]"
http://www.hmrc.gov.uk/exrate/ems.htm,Foreign Exchange Rates: EMS,Historical exchange rates for EMS,"# Foreign Exchange Rates: EMS

## Unit of currency: European Currency Unit


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: EMS"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/ems.csv""}]"
http://www.hmrc.gov.uk/exrate/el-salvador.htm,Foreign Exchange Rates: El Salvador,Historical exchange rates for El Salvador,"# Foreign Exchange Rates: El Salvador

## Unit of currency: Colon


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: El Salvador"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/el-salvador.csv""}]"
http://www.hmrc.gov.uk/exrate/egypt.htm,Foreign Exchange Rates: Egypt,Historical exchange rates for Egypt,"# Foreign Exchange Rates: Egypt

## Unit of currency: Egyptian Pound


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Egypt"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/egypt.csv""}]"
http://www.hmrc.gov.uk/exrate/ethiopia.htm,Foreign Exchange Rates: Ethiopia,Historical exchange rates for Ethiopia,"# Foreign Exchange Rates: Ethiopia

## Unit of currency: Ethiopian Birr


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Ethiopia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/ethiopia.csv""}]"
http://www.hmrc.gov.uk/exrate/european-union.htm,Foreign Exchange Rates: European Union,Historical exchange rates for European Union,"# Foreign Exchange Rates: European Union

## Unit of currency: Euro


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: European Union"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/european-union.csv""}]"
http://www.hmrc.gov.uk/exrate/fiji-islands.htm,Foreign Exchange Rates: Fiji Islands,Historical exchange rates for Fiji Islands,"# Foreign Exchange Rates: Fiji Islands

## Unit of currency: Fiji Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Fiji Islands"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/fiji-islands.csv""}]"
http://www.hmrc.gov.uk/exrate/france.htm,Foreign Exchange Rates: France,Historical exchange rates for France,"# Foreign Exchange Rates: France

## Unit of currency: French Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: France"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/france.csv""}]"
http://www.hmrc.gov.uk/exrate/finland.htm,Foreign Exchange Rates: Finland,Historical exchange rates for Finland,"# Foreign Exchange Rates: Finland

## Unit of currency: Finnish Markka

*  During the period 1.1.91 to 31.3.92 the currency was devalued.


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Finland"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/finland.csv""}]"
http://www.hmrc.gov.uk/exrate/french-city-africa.htm,Foreign Exchange Rates: French Cty Africa,Historical exchange rates for French Cty Africa,"# Foreign Exchange Rates: French Cty Africa

## Unit of currency: Cfa Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: French Cty Africa"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/french-city-africa.csv""}]"
http://www.hmrc.gov.uk/exrate/gambia.htm,Foreign Exchange Rates: Gambia,Historical exchange rates for Gambia,"# Foreign Exchange Rates: Gambia

## Unit of currency: Dalasi


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Gambia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/gambia.csv""}]"
http://www.hmrc.gov.uk/exrate/french-pacific-islands.htm,Foreign Exchange Rates: French Pacific Is.,Historical exchange rates for French Pacific Is.,"# Foreign Exchange Rates: French Pacific Is.

## Unit of currency: C.F.P Franc


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: French Pacific Is."",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/french-pacific-islands.csv""}]"
http://www.hmrc.gov.uk/exrate/germany.htm,Foreign Exchange Rates: Germany,Historical exchange rates for Germany,"# Foreign Exchange Rates: Germany

## Unit of currency: Deutsche Mark

*  The East German Ostmark was abolished on 1.7.90. From that date the
  Deutschmark became the official currency in East Germany.


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Germany"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/germany.csv""}]"
http://www.hmrc.gov.uk/exrate/greece.htm,Foreign Exchange Rates: Greece,Historical exchange rates for Greece,"# Foreign Exchange Rates: Greece

## Unit of currency: Greek Drachma


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Greece"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/greece.csv""}]"
http://www.hmrc.gov.uk/exrate/ghana.htm,Foreign Exchange Rates: Ghana,Historical exchange rates for Ghana,"# Foreign Exchange Rates: Ghana

## Unit of currency: Ghanaian Cedi


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Ghana"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/ghana.csv""}]"
http://www.hmrc.gov.uk/exrate/guyana.htm,Foreign Exchange Rates: Guyana,Historical exchange rates for Guyana,"# Foreign Exchange Rates: Guyana

## Unit of currency: Guyanese Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Guyana"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/guyana.csv""}]"
http://www.hmrc.gov.uk/exrate/hong-kong.htm,Foreign Exchange Rates: Hong Kong,Historical exchange rates for Hong Kong,"# Foreign Exchange Rates: Hong Kong

## Unit of currency: Hong Kong Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Hong Kong"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/hong-kong.csv""}]"
http://www.hmrc.gov.uk/exrate/grenada.htm,Foreign Exchange Rates: Grenada Windward Isles,Historical exchange rates for Grenada Windward Isles,"# Foreign Exchange Rates: Grenada Windward Isles

## Unit of currency: E. Carr. Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Grenada Windward Isles"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/grenada.csv""}]"
http://www.hmrc.gov.uk/exrate/honduras.htm,Foreign Exchange Rates: Honduras,Historical exchange rates for Honduras,"# Foreign Exchange Rates: Honduras

## Unit of currency: Lempira


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Honduras"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/honduras.csv""}]"
http://www.hmrc.gov.uk/exrate/iceland.htm,Foreign Exchange Rates: Iceland,Historical exchange rates for Iceland,"# Foreign Exchange Rates: Iceland

## Unit of currency: Icelandic Krona


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Iceland"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/iceland.csv""}]"
http://www.hmrc.gov.uk/exrate/hungary.htm,Foreign Exchange Rates: Hungary,Historical exchange rates for Hungary,"# Foreign Exchange Rates: Hungary

## Unit of currency: Forint


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Hungary"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/hungary.csv""}]"
http://www.hmrc.gov.uk/exrate/india.htm,Foreign Exchange Rates: India,Historical exchange rates for India,"# Foreign Exchange Rates: India

## Unit of currency: Indian Rupee


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: India"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/india.csv""}]"
http://www.hmrc.gov.uk/exrate/indonesia.htm,Foreign Exchange Rates: Indonesia,Historical exchange rates for Indonesia,"# Foreign Exchange Rates: Indonesia

## Unit of currency: Indonesian Rupiah


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Indonesia"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/indonesia.csv""}]"
http://www.hmrc.gov.uk/exrate/iran.htm,Foreign Exchange Rates: Iran,Historical exchange rates for Iran,"# Foreign Exchange Rates: Iran

## Unit of currency: Iranian Rial


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Iran"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/iran.csv""}]"
http://www.hmrc.gov.uk/exrate/israel.htm,Foreign Exchange Rates: Israel,Historical exchange rates for Israel,"# Foreign Exchange Rates: Israel

## Unit of currency: Shekel


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Israel"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/israel.csv""}]"
http://www.hmrc.gov.uk/exrate/iraq.htm,Foreign Exchange Rates: Iraq,Historical exchange rates for Iraq,"# Foreign Exchange Rates: Iraq

## Unit of currency: Iraqi Dinar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Iraq"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/iraq.csv""}]"
http://www.hmrc.gov.uk/exrate/italy.htm,Foreign Exchange Rates: Italy,Historical exchange rates for Italy,"# Foreign Exchange Rates: Italy

## Unit of currency: Italian Lira

*  The currency was devalued during the period 1.1.92 to 31.3.93


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Italy"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/italy.csv""}]"
http://www.hmrc.gov.uk/exrate/jamaica.htm,Foreign Exchange Rates: Jamaica,Historical exchange rates for Jamaica,"# Foreign Exchange Rates: Jamaica

## Unit of currency: Jamaican Dollar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Jamaica"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/jamaica.csv""}]"
http://www.hmrc.gov.uk/exrate/ireland.htm,Foreign Exchange Rates: Republic of Ireland,Historical exchange rates for Republic of Ireland,"# Foreign Exchange Rates: Republic of Ireland

## Unit of currency: Irish Punt


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Republic of Ireland"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/ireland.csv""}]"
http://www.hmrc.gov.uk/exrate/kenya.htm,Foreign Exchange Rates: Kenya,Historical exchange rates for Kenya,"# Foreign Exchange Rates: Kenya

## Unit of currency: Kenya Shilling


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Kenya"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/kenya.csv""}]"
http://www.hmrc.gov.uk/exrate/japan.htm,Foreign Exchange Rates: Japan,Historical exchange rates for Japan,"# Foreign Exchange Rates: Japan

## Unit of currency: Japanese Yen


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Japan"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/japan.csv""}]"
http://www.hmrc.gov.uk/exrate/jordan.htm,Foreign Exchange Rates: Jordan,Historical exchange rates for Jordan,"# Foreign Exchange Rates: Jordan

## Unit of currency: Jordan Dinar


",hm-revenue-customs,certified-currency-exchange-rates-for-tax-calculation-and-filing,tax-and-revenue,08-Apr-2014,notices,"[{""title"":""Foreign Exchange Rates: Jordan"",""link"":""https://raw.githubusercontent.com/rgarner/hmrc-crawlers/master/results/jordan.csv""}]"
